iter	RMSE
0	12824784.06
1	12661206.18
2	12483988.79
3	12353124.29
4	12206353.26
5	12056218.76
6	11917647.76
7	11782951.35
8	11652216.32
9	11522326.89
10	11404832.72
11	11278712.94
12	11171109.69
13	11044196.56
14	10932606.3
15	10815266.23
16	10706411.2
17	10603632.29
18	10497309.07
19	10394791.28
20	10300480.02
21	10203103.05
22	10115186.33
23	10032332.45
24	9961457.567
25	9880409.234
26	9780949.471
27	9687631.617
28	9612114.348
29	9525762.052
30	9464751.154
31	9385924.884
32	9314805.53
33	9242186.666
34	9171638.638
35	9112124.381
36	9057845.25
37	9010784.43
38	8948861.192
39	8886232.642
40	8832342.311
41	8774826.438
42	8710303.932
43	8641152.452
44	8593665.882
45	8527147.15
46	8453397.137
47	8392152.258
48	8336588.895
49	8279411.546
50	8226307.023
51	8177641.459
52	8129027.771
53	8085373.003
54	8044931.1
55	8008015.977
56	7955468.155
57	7913075.996
58	7875993.904
59	7822572.058
60	7786470.059
61	7737692.566
62	7693779.943
63	7652751.256
64	7614430.244
65	7574677.762
66	7533789.335
67	7495076.547
68	7463681.77
69	7424024.262
70	7382687.926
71	7349506.875
72	7323199.553
73	7298717.553
74	7258401.357
75	7220813.378
76	7187626.557
77	7152052.545
78	7123311.242
79	7091794.904
80	7064304.789
81	7031425.618
82	7002960.281
83	6979790.505
84	6951808.722
85	6924524.578
86	6900329.432
87	6871942.626
88	6844518.227
89	6824812.474
90	6798866.663
91	6770780.498
92	6750225.3
93	6723421.137
94	6700309.345
95	6671819.845
96	6652674.117
97	6631028.202
98	6617347.919
99	6600334.267
100	6581314.054
101	6558356.387
102	6536055.422
103	6520426.979
104	6497614.839
105	6471841.536
106	6453605.266
107	6438377.086
108	6431226.491
109	6413931.797
110	6397476.906
111	6384653.493
112	6370552.384
113	6360416.545
114	6349636.894
115	6334539.914
116	6319453.803
117	6307730.431
118	6301963.695
119	6290959.561
120	6277924.647
121	6267727.335
122	6251248.581
123	6233013.384
124	6219578.724
125	6207807.508
126	6188632.385
127	6175721.381
128	6160175.143
129	6149735.211
130	6136736.238
131	6114412.198
132	6094125.071
133	6082103.936
134	6072516.636
135	6056924.737
136	6045816.284
137	6033987.866
138	6020673.352
139	6010726.834
140	6001001.994
141	5988190.705
142	5968451.897
143	5957877.567
144	5947707.267
145	5942839.945
146	5922431.049
147	5903695.085
148	5882191.828
149	5864242.417
150	5849823.197
151	5827280.406
152	5807134.439
153	5799763.868
154	5783182.02
155	5778877.217
156	5763852.992
157	5744281.962
158	5734636.168
159	5718504.98
160	5710756.315
161	5703690.283
162	5696361.172
163	5686790.059
164	5671738.613
165	5665423.656
166	5653373.669
167	5647760.861
168	5636402.861
169	5631733.824
170	5623683.73
