iter	Passed	Remaining
0	21	84795
1	27	54892
2	32	129	173136
3	134	133944	4	1635	292	194401
6	296	169102
7	344	171903
8	345	153010
9	373	149211
10	392	142487
11	405	134645
12	411	126209
13	426	121452
14	457	121655
15	469	116824
16	474	111228
17	496	109939
18	501	105132
19	519	103334
21	537	97173
22	564	97621
23	588	97476
24	599	95327
25	616	94295
26	630	92765
27	642	91101
28	658	90118
29	668	88475
30	680	87183
31	684	84928
32	691	83122
33	698	81466
34	707	80130
35	716	78882
36	724	77581
37	732	76331
38	739	75071
39	748	74076
40	758	73256
41	771	72699
42	776	71474
43	782	70323
44	790	69448
45	799	68689
46	805	67711
47	809	66613
48	813	65571
49	817	64615
50	819	63480
51	821	62375
52	824	61416
53	826	60388
54	828	59415
55	831	58557
56	833	57651
57	835	56789
58	837	55943
59	838	55081
60	840	54305
